"","Month","Year","Start.Date","Trade.Type","Trades","X..of.Total","Par.Value","X..of.Total.1"
"1","August","2000",2000-08-01,"Other Bond Trades",455975,0.862922211624351,71737926589,0.785915559770601
"2","August","2000",2000-08-01,"New Issue Trades",72433,0.137077788375649,19541506293,0.214084440229399
"3","July","2000",2000-07-01,"Other Bond Trades",392814,0.856038912642686,61285506432,0.773327515375899
"4","July","2000",2000-07-01,"New Issue Trades",66060,0.143961087357314,17963589473,0.226672484624101
"5","June","2000",2000-06-01,"Other Bond Trades",473587,0.842832964643112,73664074688,0.737005814654816
"6","June","2000",2000-06-01,"New Issue Trades",88312,0.157167035356888,26286391405,0.262994185345184
"7","December","2000",2000-12-01,"Other Bond Trades",392595,0.835010038964796,69528253530,0.741552654093495
"8","December","2000",2000-12-01,"New Issue Trades",77573,0.164989961035204,24232119582,0.258447345906505
"9","November","2000",2000-11-01,"Other Bond Trades",406913,0.842976114022912,63283863864,0.709554357262778
"10","November","2000",2000-11-01,"New Issue Trades",75797,0.157023885977088,25904319136,0.290445642737222
"11","October","2000",2000-10-01,"Other Bond Trades",399427,0.821491006165908,55452985707,0.676188251152296
"12","October","2000",2000-10-01,"New Issue Trades",86795,0.178508993834092,26555220754,0.323811748847704
"13","September","2000",2000-09-01,"Other Bond Trades",387527,0.854965958179082,55021757444,0.723965484843486
"14","September","2000",2000-09-01,"New Issue Trades",65739,0.145034041820918,20978768266,0.276034515156514
"15","December","2001",2001-12-01,"Other Bond Trades",402418,0.737357468616985,56715272726,0.602864091034368
"16","December","2001",2001-12-01,"New Issue Trades",143339,0.262642531383015,37361109612,0.397135908965632
"17","February","2001",2001-02-01,"Other Bond Trades",355638,0.799389507897511,56552199977,0.67399818980885
"18","February","2001",2001-02-01,"New Issue Trades",89249,0.200610492102489,27353366584,0.32600181019115
"19","January","2001",2001-01-01,"Other Bond Trades",450860,0.897930732309653,89014085044,0.842499306158818
"20","January","2001",2001-01-01,"New Issue Trades",51250,0.102069267690347,16640702317,0.157500693841182
"21","March","2001",2001-03-01,"Other Bond Trades",415716,0.784103512014787,65170538786,0.619709681488876
"22","March","2001",2001-03-01,"New Issue Trades",114464,0.215896487985213,39992476627,0.380290318511124
"23","April","2001",2001-04-01,"Other Bond Trades",422602,0.811531917671955,53742841470,0.684068940708423
"24","April","2001",2001-04-01,"New Issue Trades",98144,0.188468082328045,24820645734,0.315931059291577
"25","August","2001",2001-08-01,"Other Bond Trades",412353,0.755813591165284,65004959221,0.638970231528241
"26","August","2001",2001-08-01,"New Issue Trades",133222,0.244186408834716,36728980818,0.361029768471759
"27","July","2001",2001-07-01,"Other Bond Trades",392501,0.748392152675424,52166992376,0.627881290830785
"28","July","2001",2001-07-01,"New Issue Trades",131958,0.251607847324576,30917172000,0.372118709169215
"29","June","2001",2001-06-01,"Other Bond Trades",425403,0.740346327880265,66442265866,0.623097767959451
"30","June","2001",2001-06-01,"New Issue Trades",149197,0.259653672119735,40189902122,0.376902232040549
"31","October","2001",2001-10-01,"Other Bond Trades",436319,0.774744396975734,64649919122,0.607604031299214
"32","October","2001",2001-10-01,"New Issue Trades",126859,0.225255603024266,41751480131,0.392395968700786
"33","May","2001",2001-05-01,"Other Bond Trades",470196,0.795034290583954,69650962791,0.668457823085177
"34","May","2001",2001-05-01,"New Issue Trades",121220,0.204965709416046,34545533062,0.331542176914824
"35","November","2001",2001-11-01,"Other Bond Trades",367969,0.724153131930956,54022506191,0.543858830177552
"36","November","2001",2001-11-01,"New Issue Trades",140168,0.275846868069044,45309348315,0.456141169822448
"37","September","2001",2001-09-01,"Other Bond Trades",314437,0.817666699605257,50974782229,0.743873501962428
"38","September","2001",2001-09-01,"New Issue Trades",70117,0.182333300394743,17551361120,0.256126498037572
"39","April","2002",2002-04-01,"Other Bond Trades",470328,0.745508668816039,68405633354,0.649313664924256
"40","April","2002",2002-04-01,"New Issue Trades",160554,0.254491331183961,36945042366,0.350686335075744
"41","August","2002",2002-08-01,"Other Bond Trades",418059,0.696260211346774,61510185926,0.554525108757313
"42","August","2002",2002-08-01,"New Issue Trades",182376,0.303739788653226,49413891189,0.445474891242687
"43","December","2002",2002-12-01,"Other Bond Trades",412121,0.732410861378625,62655453708,0.658432661887848
"44","December","2002",2002-12-01,"New Issue Trades",150570,0.267589138621375,32503029968,0.341567338112152
"45","February","2002",2002-02-01,"Other Bond Trades",388681,0.747702151071304,58180563275,0.640971226774147
"46","February","2002",2002-02-01,"New Issue Trades",131153,0.252297848928696,32588820505,0.359028773225853
"47","January","2002",2002-01-01,"Other Bond Trades",489920,0.822760257213343,78566973779,0.723675329397918
"48","January","2002",2002-01-01,"New Issue Trades",105539,0.177239742786657,29999631420,0.276324670602082
"49","July","2002",2002-07-01,"Other Bond Trades",445866,0.724815652920292,65701384534,0.600631573782527
"50","July","2002",2002-07-01,"New Issue Trades",169278,0.275184347079708,43685779581,0.399368426217473
"51","June","2002",2002-06-01,"Other Bond Trades",409830,0.679330664611253,58630077367,0.5113411348389
"52","June","2002",2002-06-01,"New Issue Trades",193455,0.320669335388747,56029341507,0.4886588651611
"53","March","2002",2002-03-01,"Other Bond Trades",421816,0.719448068837892,62582573122,0.646339951577672
"54","March","2002",2002-03-01,"New Issue Trades",164489,0.280551931162108,34243521210,0.353660048422328
"55","May","2002",2002-05-01,"Other Bond Trades",458693,0.688551437994149,59873698129,0.555679254603443
"56","May","2002",2002-05-01,"New Issue Trades",207478,0.311448562005851,47874967370,0.444320745396557
"57","November","2002",2002-11-01,"Other Bond Trades",383457,0.717297123381458,60649996152,0.558498547835637
"58","November","2002",2002-11-01,"New Issue Trades",151129,0.282702876618542,47944728735,0.441501452164363
"59","October","2002",2002-10-01,"Other Bond Trades",452684,0.734652411277078,68767430586,0.581653791555915
