"","Month","Year","Start.Date","Report.Type","Security.Type","Number.of.CUSIPs","PCT.of.CUSIPs","Trade.Count","PCT.of.Trade.Count","Par.Traded","PCT.of.Par.Traded","Avg.Trade.Size"
"71","June","2000",2000-06-01,"Total Customer and Interdealer","Bond",94571,0.923553940956455,561899,0.92190912148582,99950466093,0.374435191833186,177879.772153003
"76","June","2000",2000-06-01,"Total Customer and Interdealer","CP",853,0.00833015947421361,1333,0.00218705649759227,10191462000,0.0381793320051149,7645507.87696924
"72","June","2000",2000-06-01,"Total Customer and Interdealer","Long Note",1404,0.0137110713971816,6419,0.0105316696609488,14155413924,0.0530291186754385,2205236.62938152
"74","June","2000",2000-06-01,"Total Customer and Interdealer","Long Variable",161,0.00157228097930644,1724,0.00282857119418535,1069255000,0.00400565116595922,620217.517401392
"77","June","2000",2000-06-01,"Total Customer and Interdealer","Other",524,0.0051172374730222,1537,0.00252175981755388,3896587336,0.0145974249413941,2535190.19908913
"73","June","2000",2000-06-01,"Total Customer and Interdealer","Short Note",177,0.00172853250520025,523,0.000858087433038827,1166766020,0.00437094768639343,2230910.17208413
"75","June","2000",2000-06-01,"Total Customer and Interdealer","Short Variable",4709,0.0459867772146212,36060,0.0591637339108606,136506673836,0.511382333692514,3785542.81297837
"78","June","2000",2000-06-01,"Interdealer Only","Bond",39786,0.98094134470771,121196,0.985429472794094,31620752000,0.933192281615032,260905.904485297
"83","June","2000",2000-06-01,"Interdealer Only","CP",0,0,0,0,0,0,NA
"79","June","2000",2000-06-01,"Interdealer Only","Long Note",467,0.0115140905840874,1105,0.00898461638533841,1693454000,0.0499772491833876,1532537.55656109
"81","June","2000",2000-06-01,"Interdealer Only","Long Variable",60,0.00147932641337311,250,0.00203271863921683,134606000,0.00397249503297939,538424
"84","June","2000",2000-06-01,"Interdealer Only","Other",26,0.000641041445795015,53,0.000430936351513969,35994000,0.00106225566629318,679132.075471698
"80","June","2000",2000-06-01,"Interdealer Only","Short Note",24,0.000591730565349244,34,0.000276449734933489,24779000,0.000731278356256008,728794.117647059
"82","June","2000",2000-06-01,"Interdealer Only","Short Variable",196,0.00483246628368549,350,0.00284580609490357,374913000,0.0110644401460514,1071180
"85","June","2000",2000-06-01,"Customer Only Buy and Sell","Bond",93862,0.923284248630251,440703,0.905851303270045,68329714093,0.293194982618276,155047.081805661
"90","June","2000",2000-06-01,"Customer Only Buy and Sell","CP",853,0.00839063160897493,1333,0.00273994002141799,10191462000,0.0437303969965086,7645507.87696924
"86","June","2000",2000-06-01,"Customer Only Buy and Sell","Long Note",1379,0.0135646904909454,5314,0.0109227616457728,12461959924,0.0534728437226279,2345118.54045916
"88","June","2000",2000-06-01,"Customer Only Buy and Sell","Long Variable",161,0.0015836948288921,1474,0.00302976113396107,934649000,0.00401047188542623,634090.230664858
"91","June","2000",2000-06-01,"Customer Only Buy and Sell","Other",523,0.00514454904043832,1484,0.00305031582279392,3860593336,0.0165653641474948,2601477.98921833
"87","June","2000",2000-06-01,"Customer Only Buy and Sell","Short Note",177,0.00174108065039691,489,0.00100512428392603,1141987020,0.00490013559874529,2335351.7791411
"89","June","2000",2000-06-01,"Customer Only Buy and Sell","Short Variable",4706,0.0462911047501008,35710,0.0734007938220827,136131760836,0.584125805030921,3812146.76101932
"92","June","2000",2000-06-01,"Customer Bought Only","Bond",87070,0.92419224727211,322734,0.921999674320143,40998515096,0.299345859257435,127035.004356529
"97","June","2000",2000-06-01,"Customer Bought Only","CP",818,0.00868254574788774,1002,0.00286255452994969,7429925000,0.0542487277438078,7415094.81037924
"93","June","2000",2000-06-01,"Customer Bought Only","Long Note",1319,0.0140003396594914,4616,0.0131871773555367,10208362097,0.0745351610023466,2211516.91876083
